PART NUMBER,PART NAME,CATEGORY,LOCATION,CURRENT STOCK,REORDER POINT ,SAFETY STOCK,REORDER QTY,AVG DAILY USAGE,LEAD TIME DAYS,VENDOR,UNIT COST,LAST ORDER DATE,STOCKOUT DAYS,REORDER TRIGGERED,RECOMMENDED ORDER QTY,EXPECTED REPLENISHMENT DATE,STATUS FLAG,DAYS SINCE LAST ORDER,REORDER RISK LEVEL,SUPPLY GAP FLAG,DAYS TO REORDER,DEMAND CLASSIFICATION,INVENTORY VALUE,COVERAGE DAYS POST REORDER,VENDOR RISK FLAG
AST-7141,Wing Panel Fastener,Guidance,ORB-WH2,31,150,33,62,2,13,Mynte,1464.44,2024-12-06,15.5,Yes,62,2025-04-15,SAFE,1900-04-26,LOW,OK,-59.5,Low,45397.64,31.0,Standard
AST-2428,Wing Panel Fastener,Payload Bay,AZ-WH5,45,103,36,114,13,11,Realfire,405.77,2024-05-16,3.46,Yes,114,2025-04-13,LOW,1900-11-16,HIGH,UNDERORDERED,-4.461538462,Medium,18259.65,8.769230769,Standard
AST-4619,Fuel Injection Sensor,Power Systems,TX-WH4,244,134,53,150,16,15,Quatz,533.25,2024-07-06,15.25,No,0,2025-04-17,SAFE,1900-09-26,LOW,UNDERORDERED,6.875,High,130113.0,9.375,Standard
AST-0142,Fuel Injection Sensor,Structural,FLT-WH3,61,147,36,139,17,23,Jabbersphere,1403.57,2024-04-01,3.59,Yes,139,2025-04-25,LOW,1900-12-31,HIGH,UNDERORDERED,-5.058823529,High,85617.77,8.176470588,High Risk
AST-0401,Composite Tank Latch,Structural,FLT-WH3,178,67,40,176,7,14,Zoombeat,976.77,2024-11-23,25.43,No,0,2025-04-16,SAFE,1900-05-09,LOW,OK,15.85714286,Medium,173865.06,25.14285714,Standard
AST-4684,Orbital Thruster Valve,Navigation,FLT-WH3,1,101,46,66,12,14,Oyope,357.33,2024-10-16,0.08,Yes,66,2025-04-16,CRITICAL,1900-06-16,HIGH,UNDERORDERED,-8.333333333,Medium,357.33,5.5,Standard
AST-4352,Microgravity Gyro Axis,Structural,ORB-WH2,239,149,62,51,2,19,Buzzshare,475.5,2025-01-18,119.5,No,0,2025-04-21,SAFE,1900-03-14,LOW,OK,45.0,Low,113644.5,25.5,Standard
AST-9000,Wing Panel Fastener,Ground Support,ORB-WH2,193,77,41,92,16,27,Vidoo,381.06,2024-10-25,12.06,No,0,2025-04-29,SAFE,1900-06-07,LOW,UNDERORDERED,7.25,High,73544.58,5.75,High Risk
AST-8310,Orbital Thruster Valve,Payload Bay,FLT-WH3,220,53,29,94,20,17,Voomm,1309.22,2024-05-04,11.0,No,0,2025-04-19,SAFE,1900-11-28,LOW,UNDERORDERED,8.35,High,288028.4,4.7,Standard
AST-0751,Flight Control Harness,Payload Bay,TX-WH4,119,104,29,198,14,17,Fivespan,1095.09,2024-05-14,8.5,No,0,2025-04-19,SAFE,1900-11-18,LOW,UNDERORDERED,1.071428571,Medium,130315.71,14.14285714,Standard
AST-9717,Wing Panel Fastener,Thermal,ORB-WH2,48,67,65,100,4,26,Ntags,1264.49,2024-10-22,12.0,Yes,100,2025-04-28,SAFE,1900-06-10,LOW,UNDERORDERED,-4.75,Low,60695.52,25.0,High Risk
AST-7901,Pressurized Cabin Ring,Power Systems,HQ-WH1,116,96,26,174,3,27,Cogilith,1171.65,2024-09-21,38.67,No,0,2025-04-29,SAFE,1900-07-11,LOW,OK,6.666666667,Low,135911.4,58.0,High Risk
AST-7150,Pressurized Cabin Ring,Flight Control,AZ-WH5,247,55,42,61,6,15,Wikido,624.91,2025-01-17,41.17,No,0,2025-04-17,SAFE,1900-03-15,LOW,UNDERORDERED,32.0,Low,154352.77,10.16666667,Standard
AST-0802,Aerofoil Bracket,Navigation,HQ-WH1,42,62,53,152,9,18,Photolist,341.34,2025-01-17,4.67,Yes,152,2025-04-20,LOW,1900-03-15,HIGH,UNDERORDERED,-2.222222222,Medium,14336.28,16.88888889,Standard
AST-4557,Payload Release Clamp,Propulsion,ORB-WH2,161,80,54,166,11,10,Oba,1247.97,2024-09-24,14.64,No,0,2025-04-12,SAFE,1900-07-08,LOW,OK,7.363636364,Medium,200923.17,15.09090909,Standard
AST-9102,Gyroscopic Stabilizer,Flight Control,TX-WH4,62,110,47,131,12,7,Flashpoint,1396.29,2024-05-07,5.17,Yes,131,2025-04-09,LOW,1900-11-25,LOW,OK,-4.0,Medium,86569.98,10.91666667,Standard
AST-6693,Flight Control Harness,Payload Bay,TX-WH4,207,71,37,66,18,21,Divavu,1306.47,2024-04-10,11.5,No,0,2025-04-23,SAFE,1900-12-22,LOW,UNDERORDERED,7.555555556,High,270439.29,3.666666667,High Risk
AST-2077,Radiation Shielding Unit,Navigation,FLT-WH3,145,123,31,178,8,30,Meevee,1016.8,2024-04-19,18.13,No,0,2025-05-02,SAFE,1900-12-13,LOW,UNDERORDERED,2.75,Medium,147436.0,22.25,High Risk
AST-5515,Atmospheric Regulator Coil,Power Systems,ORB-WH2,148,135,42,172,11,29,Yakidoo,574.16,2025-01-19,13.45,No,0,2025-05-01,SAFE,1900-03-13,LOW,UNDERORDERED,1.181818182,Medium,84975.68,15.63636364,High Risk
AST-5191,Navigation Core Processor,Propulsion,AZ-WH5,103,113,44,129,12,7,Yamia,968.55,2024-07-29,8.58,Yes,129,2025-04-09,SAFE,1900-09-03,LOW,OK,-0.833333333,Medium,99760.65,10.75,Standard
AST-0120,Atmospheric Regulator Coil,Power Systems,FLT-WH3,202,50,31,98,3,18,Meembee,894.29,2025-02-18,67.33,No,0,2025-04-20,SAFE,1900-02-12,LOW,OK,50.66666667,Low,180646.58,32.66666667,Standard
AST-6228,Radiation Shielding Unit,Payload Bay,ORB-WH2,169,123,71,169,6,10,Quinu,534.85,2025-02-10,28.17,No,0,2025-04-12,SAFE,1900-02-20,LOW,OK,7.666666667,Low,90389.65,28.16666667,Standard
AST-9809,Gyroscopic Stabilizer,Power Systems,AZ-WH5,134,86,74,131,10,13,Blogtag,817.73,2024-12-15,13.4,No,0,2025-04-15,SAFE,1900-04-17,LOW,OK,4.8,Medium,109575.82,13.1,Standard
AST-3190,Navigation Core Processor,Guidance,HQ-WH1,110,69,46,163,20,13,Skyble,628.76,2025-03-10,5.5,No,0,2025-04-15,LOW,1900-01-23,LOW,UNDERORDERED,2.05,High,69163.6,8.15,Standard
AST-9320,Gyroscopic Stabilizer,Thermal,TX-WH4,4,100,73,183,17,26,Twitternation,730.32,2024-05-27,0.24,Yes,183,2025-04-28,CRITICAL,1900-11-05,HIGH,UNDERORDERED,-5.647058824,High,2921.28,10.76470588,High Risk
AST-9950,Radiation Shielding Unit,Structural,FLT-WH3,124,149,39,138,7,25,Gigashots,709.25,2024-12-08,17.71,Yes,138,2025-04-27,SAFE,1900-04-24,LOW,UNDERORDERED,-3.571428571,Medium,87947.0,19.71428571,High Risk
AST-9085,Payload Release Clamp,Structural,HQ-WH1,44,149,73,68,12,21,Skynoodle,981.39,2024-08-19,3.67,Yes,68,2025-04-23,LOW,1900-08-13,HIGH,UNDERORDERED,-8.75,Medium,43181.16,5.666666667,High Risk
AST-2643,Payload Release Clamp,Propulsion,TX-WH4,84,123,44,135,7,12,Devify,834.86,2024-11-11,12.0,Yes,135,2025-04-14,SAFE,1900-05-21,LOW,OK,-5.571428571,Medium,70128.24,19.28571429,Standard
AST-6539,Flight Control Harness,Avionics,TX-WH4,189,144,63,161,7,11,Mymm,984.33,2024-08-22,27.0,No,0,2025-04-13,SAFE,1900-08-10,LOW,OK,6.428571429,Medium,186038.37,23.0,Standard
AST-0282,Aerofoil Bracket,Navigation,HQ-WH1,45,81,60,113,12,10,Bubblemix,1226.73,2024-10-14,3.75,Yes,113,2025-04-12,LOW,1900-06-18,HIGH,UNDERORDERED,-3.0,Medium,55202.85,9.416666667,Standard
AST-2605,Fuel Injection Sensor,Flight Control,AZ-WH5,120,51,48,149,14,7,Flashpoint,757.54,2024-09-06,8.57,No,0,2025-04-09,SAFE,1900-07-26,LOW,OK,4.928571429,Medium,90904.8,10.64285714,Standard
AST-4072,Composite Tank Latch,Structural,TX-WH4,47,135,71,64,1,30,Feedspan,1214.58,2024-05-29,47.0,Yes,64,2025-05-02,SAFE,1900-11-03,LOW,OK,-88.0,Low,57085.26,64.0,High Risk
AST-9252,Microgravity Gyro Axis,Guidance,AZ-WH5,7,132,45,160,13,24,Yodo,1058.32,2025-02-17,0.54,Yes,160,2025-04-26,CRITICAL,1900-02-13,HIGH,UNDERORDERED,-9.615384615,Medium,7408.24,12.30769231,High Risk
AST-6963,Flight Control Harness,Avionics,FLT-WH3,106,50,45,171,2,5,Devpoint,962.93,2024-12-11,53.0,No,0,2025-04-07,SAFE,1900-04-21,LOW,OK,28.0,Low,102070.58,85.5,Standard
AST-4504,Radiation Shielding Unit,Ground Support,ORB-WH2,196,148,57,140,10,16,Jamia,987.33,2024-05-26,19.6,No,0,2025-04-18,SAFE,1900-11-06,LOW,UNDERORDERED,4.8,Medium,193516.68,14.0,Standard
AST-4047,Radiation Shielding Unit,Power Systems,HQ-WH1,104,50,48,70,2,15,Youspan,1312.55,2024-12-18,52.0,No,0,2025-04-17,SAFE,1900-04-14,LOW,OK,27.0,Low,136505.2,35.0,Standard
AST-7119,Flight Control Harness,Propulsion,ORB-WH2,74,117,69,174,10,15,Wikido,1163.52,2025-01-04,7.4,Yes,174,2025-04-17,SAFE,1900-03-28,LOW,OK,-4.3,Medium,86100.48,17.4,Standard
AST-8601,Radiation Shielding Unit,Structural,HQ-WH1,80,64,63,181,16,18,Zoombox,299.48,2025-02-03,5.0,No,0,2025-04-20,LOW,1900-02-27,LOW,UNDERORDERED,1.0,High,23958.4,11.3125,Standard
AST-7315,Fuel Injection Sensor,Propulsion,AZ-WH5,241,114,60,67,5,16,Zazio,631.31,2024-04-10,48.2,No,0,2025-04-18,SAFE,1900-12-22,LOW,UNDERORDERED,25.4,Low,152145.71,13.4,Standard
AST-4300,Aerofoil Bracket,Power Systems,ORB-WH2,199,130,33,77,2,15,Dabvine,886.7,2024-07-07,99.5,No,0,2025-04-17,SAFE,1900-09-25,LOW,OK,34.5,Low,176453.3,38.5,Standard
AST-7906,Navigation Core Processor,Power Systems,HQ-WH1,106,146,67,93,20,25,Camido,1419.81,2025-03-26,5.3,Yes,93,2025-04-27,LOW,1900-01-07,LOW,UNDERORDERED,-2.0,High,150499.86,4.65,High Risk
AST-4507,Atmospheric Regulator Coil,Thermal,TX-WH4,226,147,68,155,16,13,Ainyx,311.18,2024-11-20,14.13,No,0,2025-04-15,SAFE,1900-05-12,LOW,UNDERORDERED,4.9375,High,70326.68,9.6875,Standard
AST-6023,Flight Control Harness,Guidance,ORB-WH2,110,66,42,166,10,23,Realpoint,1270.02,2025-01-13,11.0,No,0,2025-04-25,SAFE,1900-03-19,LOW,UNDERORDERED,4.4,Medium,139702.2,16.6,High Risk
AST-1723,Radiation Shielding Unit,Thermal,HQ-WH1,231,107,46,184,13,12,Youfeed,371.37,2025-01-11,17.77,No,0,2025-04-14,SAFE,1900-03-21,LOW,OK,9.538461538,Medium,85786.47,14.15384615,Standard
AST-3319,Navigation Core Processor,Guidance,FLT-WH3,223,55,69,180,13,11,Podcat,884.57,2024-06-08,17.15,No,0,2025-04-13,SAFE,1900-10-24,LOW,OK,12.92307692,Medium,197259.11,13.84615385,Standard
AST-5670,Composite Tank Latch,Thermal,AZ-WH5,162,121,49,87,16,24,Skiba,538.06,2024-10-08,10.13,No,0,2025-04-26,SAFE,1900-06-24,LOW,UNDERORDERED,2.5625,High,87165.72,5.4375,High Risk
AST-6836,Thermal Coupler,Thermal,AZ-WH5,236,68,67,158,13,8,Oyoba,1098.06,2024-09-18,18.15,No,0,2025-04-10,SAFE,1900-07-14,LOW,OK,12.92307692,Medium,259142.16,12.15384615,Standard
AST-5747,Fuel Injection Sensor,Structural,TX-WH4,210,57,44,68,14,11,Fadeo,1076.62,2025-03-27,15.0,No,0,2025-04-13,SAFE,1900-01-06,LOW,UNDERORDERED,10.92857143,Medium,226090.2,4.857142857,Standard
AST-3115,Flight Control Harness,Power Systems,AZ-WH5,45,66,57,173,1,21,Livefish,917.47,2024-07-01,45.0,Yes,173,2025-04-23,SAFE,1900-10-01,LOW,OK,-21.0,Low,41286.15,173.0,High Risk
AST-5002,Pressurized Cabin Ring,Navigation,AZ-WH5,6,78,67,110,17,7,DabZ,1056.64,2024-10-19,0.35,Yes,110,2025-04-09,CRITICAL,1900-06-13,HIGH,UNDERORDERED,-4.235294118,High,6339.84,6.470588235,Standard
AST-0604,Thermal Coupler,Payload Bay,TX-WH4,242,147,43,121,20,26,Blogtag,1451.08,2025-03-06,12.1,No,0,2025-04-28,SAFE,1900-01-27,LOW,UNDERORDERED,4.75,High,351161.36,6.05,High Risk
AST-2670,Wing Panel Fastener,Propulsion,AZ-WH5,191,120,29,122,13,19,Quinu,766.53,2024-05-30,14.69,No,0,2025-04-21,SAFE,1900-11-02,LOW,UNDERORDERED,5.461538462,Medium,146407.23,9.384615385,Standard
AST-0139,Pressurized Cabin Ring,Ground Support,FLT-WH3,167,114,25,172,17,19,Fivespan,877.54,2024-10-08,9.82,No,0,2025-04-21,SAFE,1900-06-24,LOW,UNDERORDERED,3.117647059,High,146549.18,10.11764706,Standard
AST-3877,Microgravity Gyro Axis,Thermal,FLT-WH3,42,139,67,73,20,21,Oyonder,1386.79,2024-11-03,2.1,Yes,73,2025-04-23,CRITICAL,1900-05-29,HIGH,UNDERORDERED,-4.85,High,58245.18,3.65,High Risk
AST-7522,Atmospheric Regulator Coil,Ground Support,HQ-WH1,0,142,74,188,15,22,Tavu,948.5,2025-02-11,0.0,Yes,188,2025-04-24,CRITICAL,1900-02-19,HIGH,UNDERORDERED,-9.466666667,High,0.0,12.53333333,High Risk
AST-2057,Pressurized Cabin Ring,Ground Support,HQ-WH1,231,62,43,65,8,14,Riffwire,1151.43,2024-08-07,28.88,No,0,2025-04-16,SAFE,1900-08-25,LOW,UNDERORDERED,21.125,Medium,265980.33,8.125,Standard
AST-7964,Orbital Thruster Valve,Payload Bay,HQ-WH1,130,89,37,91,10,20,Twitterwire,1294.67,2024-12-13,13.0,No,0,2025-04-22,SAFE,1900-04-19,LOW,UNDERORDERED,4.1,Medium,168307.1,9.1,Standard
AST-5409,Composite Tank Latch,Power Systems,AZ-WH5,219,82,32,77,10,15,Tagpad,732.98,2024-11-27,21.9,No,0,2025-04-17,SAFE,1900-05-05,LOW,UNDERORDERED,13.7,Medium,160522.62,7.7,Standard
